index,city,district,min_booking_duration,first_pic_category,beds,rooms,deposit,area,price,accommodates,number_of_pics,cleaning_fee,clicks
33001,141,893,2,ROOM_BEDROOM,1,1,1400.0,36.0,1400.0,1,31,170.0,0
14301,982,1067,1,LIVING_DINING_ROOM,1,1,1000.0,32.0,800.0,1,19,50.0,403
6948,822,923,2,ROOM_BEDROOM,1,1,1000.0,21.0,1500.0,2,11,100.0,1109
29266,349,440,1,HALL_CORRIDOR,3,3,1000.0,66.0,1300.0,2,10,0.0,0
16855,141,951,5,ROOM_BEDROOM,1,1,1500.0,35.0,1050.0,1,22,150.0,684
32881,822,923,1,,1,1,550.0,,550.0,,,,0
15448,271,356,1,LIVING_DINING_ROOM,1,1,500.0,45.0,1080.0,2,9,30.0,0
5530,141,248,1,,1,1,500.0,,1050.0,,,0.0,0
31472,141,263,1,,1,1,1100.0,,1100.0,,,,0
31934,465,567,6,LIVING_DINING_ROOM,1,2,700.0,62.0,700.0,1,9,100.0,469
4947,141,287,6,ROOM_BEDROOM,2,2,2000.0,46.0,1590.0,4,22,0.0,0
18229,822,923,5,LIVING_DINING_ROOM,2,3,3000.0,95.0,2350.0,2,38,0.0,0
33873,271,356,1,ROOM_BEDROOM,1,1,900.0,31.0,900.0,1,12,50.0,969
25064,141,287,2,LIVING_DINING_ROOM,1,2,2000.0,70.0,2000.0,2,13,120.0,0
21856,1056,1135,1,UNCATEGORIZED,1,1,980.0,61.0,980.0,1,13,100.0,499
4014,701,809,1,HALL_CORRIDOR,1,1,450.0,39.0,1111.0,4,12,30.0,258
20806,141,1052,7,ROOM_BEDROOM,1,1,1252.0,34.0,1252.0,2,17,50.0,195
30427,822,923,6,LIVING_DINING_ROOM,1,1,2000.0,36.0,1100.0,2,8,250.0,0
16218,822,923,1,LIVING_DINING_ROOM,2,3,4600.0,95.0,2300.0,3,21,100.0,0
9741,141,299,3,UNCATEGORIZED,1,1,3600.0,30.0,1450.0,1,53,150.0,1311
26262,489,593,3,LIVING_DINING_ROOM,4,5,12000.0,150.0,6000.0,8,17,,0
243,141,893,3,LIVING_DINING_ROOM,1,1,2000.0,40.0,1390.0,2,13,150.0,746
22100,455,553,3,LIVING_DINING_ROOM,1,2,1500.0,54.0,990.0,1,10,50.0,883
8424,1,0,3,LIVING_DINING_ROOM,5,2,500.0,50.0,1600.0,5,10,30.0,482
2345,141,951,1,LIVING_DINING_ROOM,4,3,1490.0,77.0,1490.0,6,10,80.0,0
10147,822,923,6,,3,4,6900.0,114.0,3490.0,6,,0.0,0
1560,822,923,6,ROOM_BEDROOM,1,1,4700.0,66.0,2080.0,2,11,100.0,335
15677,141,1083,5,ROOM_BEDROOM,2,2,2500.0,63.0,1900.0,2,15,200.0,274
22533,349,440,3,ROOM_BEDROOM,1,1,930.0,12.0,620.0,1,14,200.0,488
4228,349,440,3,ROOM_BEDROOM,1,1,1140.0,19.0,760.0,1,3,200.0,398
16908,141,759,5,LIVING_DINING_ROOM,1,1,1099.0,33.0,1099.0,2,8,60.0,1753
1773,141,860,3,LIVING_DINING_ROOM,1,1,1000.0,32.0,900.0,1,8,50.0,855
2495,141,893,3,LIVING_DINING_ROOM,2,3,2200.0,87.0,2050.0,2,13,150.0,686
5167,465,568,3,LIVING_DINING_ROOM,1,2,990.0,42.0,990.0,1,10,35.0,246
27677,141,759,3,LIVING_DINING_ROOM,1,2,3700.0,55.67,1850.0,2,23,300.0,290
394,1334,1414,1,LIVING_DINING_ROOM,2,2,1000.0,55.0,2740.0,2,33,119.0,75
3157,141,1192,3,BATHROOM,1,1,2660.0,36.24,1330.0,2,16,200.0,337
30389,141,1234,6,LIVING_DINING_ROOM,1,1,2000.0,24.0,850.0,1,11,0.0,552
32555,141,896,1,LIVING_DINING_ROOM,4,2,1500.0,66.0,3400.0,4,9,120.0,795
9958,656,766,3,KITCHEN,2,2,1000.0,38.0,990.0,2,14,85.0,623
2051,271,356,1,,0,0,1053.0,,1053.0,,,,0
33319,141,496,3,LIVING_DINING_ROOM,2,3,4300.0,89.0,2150.0,2,36,150.0,1421
25770,1227,1272,1,ROOM_BEDROOM,1,2,450.0,20.0,410.0,2,15,50.0,0
7363,378,476,11,LIVING_DINING_ROOM,4,3,2900.0,85.0,1400.0,3,7,300.0,0
10847,141,458,1,LIVING_DINING_ROOM,1,2,1000.0,75.0,1930.0,2,12,0.0,350
31932,465,1325,10,LIVING_DINING_ROOM,1,3,1250.0,58.0,1050.0,2,15,150.0,404
20029,141,288,3,LIVING_DINING_ROOM,1,1,1250.0,47.0,1250.0,2,9,0.0,513
10061,1074,1148,1,LIVING_DINING_ROOM,1,2,250.0,40.0,790.0,1,7,50.0,711
21668,1296,1335,1,LIVING_DINING_ROOM,6,4,2000.0,78.0,4280.0,6,10,0.0,580
18274,141,759,1,LIVING_DINING_ROOM,2,3,1000.0,85.0,1990.0,2,38,40.0,0
31518,963,1051,5,ROOM_BEDROOM,0,1,730.0,26.0,730.0,2,26,0.0,249
7267,141,1024,6,LIVING_DINING_ROOM,1,1,2800.0,47.0,1450.0,1,26,90.0,573
28832,465,374,3,TERRACE,1,3,3500.0,75.0,1750.0,2,19,350.0,325
19106,141,1024,3,UNCATEGORIZED,1,1,1200.0,42.0,1250.0,2,42,0.0,732
11542,141,458,2,LIVING_DINING_ROOM,1,2,1900.0,55.0,1950.0,2,16,100.0,367
9328,141,458,1,ROOM_BEDROOM,6,4,500.0,75.0,1.0,6,16,,0
17022,141,287,1,ROOM_BEDROOM,1,2,500.0,60.0,1450.0,2,28,100.0,1005
14547,263,348,6,OUTDOOR_HOUSE,1,2,1000.0,40.0,598.0,1,16,78.0,1685
28707,141,893,1,LIVING_DINING_ROOM,2,2,1200.0,50.0,1950.0,3,27,70.0,754
14939,141,893,1,LIVING_DINING_ROOM,1,3,1500.0,106.0,2800.0,2,23,50.0,0
8380,259,343,1,LIVING_DINING_ROOM,1,1,600.0,14.0,480.0,1,7,100.0,41
26469,141,1083,1,LIVING_DINING_ROOM,1,2,2500.0,52.0,1380.0,2,32,70.0,1347
8193,141,893,1,LIVING_DINING_ROOM,1,1,750.0,32.0,2680.0,2,8,100.0,1742
20639,822,923,4,ROOM_BEDROOM,1,2,2134.0,23.0,1150.0,1,12,100.0,617
23305,888,984,12,ROOM_BEDROOM,1,1,1500.0,27.0,520.0,1,8,50.0,351
22060,271,356,6,ROOM_BEDROOM,1,2,2600.0,48.0,1300.0,1,17,250.0,646
2134,141,458,1,LIVING_DINING_ROOM,1,2,2500.0,100.0,2390.0,2,46,35.0,3361
26196,168,223,6,KITCHEN,1,1,600.0,36.0,600.0,1,7,,0
28858,141,1083,2,LIVING_DINING_ROOM,2,2,1500.0,51.0,1190.0,2,34,75.0,645
22231,263,348,3,KITCHEN,1,1,750.0,21.0,698.0,1,16,80.0,897
24996,141,893,1,TERRACE,3,4,1500.0,135.0,3980.0,4,19,120.0,611
25413,1359,1388,1,LIVING_DINING_ROOM,1,2,2000.0,51.0,1250.0,2,11,150.0,297
