district,min_booking_duration,first_pic_category,rooms,deposit,area,price,number_of_pics,cleaning_fee,deposit_ratio,clicks
356,1,UNCATEGORIZED,1,1090.0,55.0,1090.0,0.0,80.0,1.0,0
893,1,ROOM_BEDROOM,2,2250.0,67.0,2250.0,26.0,100.0,1.0,516
923,1,KITCHEN,3,1200.0,60.0,2230.0,10.0,50.0,0.5381165919282511,80
496,1,LIVING_DINING_ROOM,2,1200.0,59.0,1200.0,31.0,300.0,1.0,222
989,1,KITCHEN,3,400.0,58.0,1200.0,10.0,50.0,0.3333333333333333,123
287,4,LIVING_DINING_ROOM,3,4500.0,80.0,2700.0,38.0,250.0,1.6666666666666667,2012
923,3,KITCHEN,1,2000.0,44.0,1260.0,17.0,0.0,1.5873015873015872,748
1052,3,LIVING_DINING_ROOM,1,3000.0,43.0,1500.0,28.0,0.0,2.0,0
893,1,LIVING_DINING_ROOM,2,700.0,67.0,1250.0,29.0,200.0,0.56,121
1192,3,WALK_IN_CLOSET,2,1750.0,73.0,1750.0,13.0,0.0,1.0,211
607,1,LIVING_DINING_ROOM,2,700.0,40.0,850.0,5.0,100.0,0.8235294117647058,0
496,1,LIVING_DINING_ROOM,2,1500.0,53.0,1080.0,9.0,20.0,1.3888888888888888,0
951,1,UNCATEGORIZED,1,350.0,50.0,950.0,6.0,50.0,0.3684210526315789,0
722,24,HALL_CORRIDOR,2,2070.0,70.0,790.0,17.0,80.0,2.6202531645569622,0
893,2,LIVING_DINING_ROOM,2,1400.0,49.0,1431.0,12.0,80.0,0.9783368273934312,0
923,6,LIVING_DINING_ROOM,1,2980.0,42.0,1490.0,10.0,50.0,2.0,0
287,12,LIVING_DINING_ROOM,6,3950.0,212.0,3950.0,19.0,350.0,1.0,116
893,1,GARDEN,2,0.0,86.0,2700.0,13.0,0.0,0.0,91
223,6,LIVING_DINING_ROOM,2,2070.0,74.0,950.0,17.0,100.0,2.1789473684210527,0
299,3,OUTDOOR_HOUSE,3,6800.0,84.0,3400.0,14.0,150.0,2.0,68
356,6,ROOM_BEDROOM,1,1500.0,30.0,1150.0,8.0,70.0,1.3043478260869565,1457
575,1,UNCATEGORIZED,1,500.0,55.0,1200.0,0.0,0.0,0.4166666666666667,0
496,6,LIVING_DINING_ROOM,1,1430.0,41.0,1430.0,8.0,200.0,1.0,236
893,5,LIVING_DINING_ROOM,2,2500.0,55.0,1790.0,15.0,150.0,1.3966480446927374,340
287,4,ROOM_BEDROOM,1,500.0,55.0,1065.0,1.0,80.0,0.4694835680751174,0
440,1,GARDEN,2,998.0,42.0,998.0,7.0,120.0,1.0,0
1392,1,LIVING_DINING_ROOM,3,1400.0,120.0,1400.0,31.0,150.0,1.0,476
1192,3,ROOM_BEDROOM,2,1200.0,55.0,1150.0,11.0,0.0,1.0434782608695652,15
356,1,ROOM_BEDROOM,1,1600.0,27.0,990.0,5.0,150.0,1.6161616161616161,134
496,3,ROOM_BEDROOM,2,700.0,50.0,1120.0,29.0,220.0,0.625,443
356,2,LIVING_DINING_ROOM,3,6000.0,93.0,3400.0,36.0,300.0,1.7647058823529411,725
773,2,LIVING_DINING_ROOM,4,2490.0,120.0,2490.0,48.0,160.0,1.0,0
1052,2,LIVING_DINING_ROOM,1,1000.0,30.0,1000.0,5.0,50.0,1.0,450
766,3,OUTDOOR_BUILDING,8,15000.0,360.0,15000.0,1.0,250.0,1.0,32
577,3,ROOM_BEDROOM,1,500.0,55.0,500.0,1.0,80.0,1.0,0
1325,6,LIVING_DINING_ROOM,3,1500.0,79.0,1480.0,28.0,200.0,1.0135135135135136,1274
374,3,NON_RELATED,1,2000.0,40.0,1390.0,25.0,100.0,1.4388489208633093,1083
984,6,ROOM_BEDROOM,2,1350.0,40.0,1350.0,7.0,250.0,1.0,293
306,1,LIVING_DINING_ROOM,2,2000.0,48.0,1800.0,12.0,150.0,1.1111111111111112,271
405,1,KITCHEN,1,500.0,55.0,800.0,11.0,80.0,0.625,0
893,1,LIVING_DINING_ROOM,2,700.0,67.0,700.0,6.0,0.0,1.0,0
496,3,OUTDOOR_BUILDING,2,1500.0,158.0,2150.0,32.0,0.0,0.6976744186046512,0
403,1,KITCHEN,0,920.0,55.0,920.0,12.0,80.0,1.0,0
540,1,KITCHEN,2,500.0,46.0,1499.0,19.0,90.0,0.333555703802535,223
1299,4,LIVING_DINING_ROOM,2,2000.0,82.0,1540.0,20.0,150.0,1.2987012987012987,738
374,3,LIVING_DINING_ROOM,1,800.0,30.0,800.0,9.0,50.0,1.0,329
39,1,UNCATEGORIZED,2,500.0,55.0,580.0,0.0,45.0,0.8620689655172413,0
356,3,UNCATEGORIZED,1,1800.0,32.0,1130.0,0.0,175.0,1.592920353982301,0
766,3,BATHROOM,1,999.0,32.0,999.0,8.0,49.0,1.0,1176
855,1,ROOM_BEDROOM,1,950.0,20.0,1010.0,15.0,50.0,0.9405940594059405,153
923,6,KITCHEN,1,4000.0,86.0,1750.0,10.0,300.0,2.2857142857142856,68
1192,1,LIVING_DINING_ROOM,1,500.0,55.0,865.0,12.0,0.0,0.5780346820809249,0
1024,2,KITCHEN,1,950.0,43.0,915.0,31.0,80.0,1.0382513661202186,0
568,3,LIVING_DINING_ROOM,2,1900.0,60.0,1600.0,15.0,65.0,1.1875,269
440,12,LIVING_DINING_ROOM,3,4000.0,90.0,2300.0,12.0,150.0,1.7391304347826086,0
278,1,ROOM_BEDROOM,3,2500.0,56.0,1390.0,9.0,150.0,1.7985611510791366,1140
223,6,LIVING_DINING_ROOM,3,4000.0,118.0,1950.0,27.0,50.0,2.051282051282051,740
984,1,UNCATEGORIZED,1,1700.0,55.0,1700.0,0.0,80.0,1.0,0
567,6,LIVING_DINING_ROOM,1,2200.0,31.0,1250.0,16.0,150.0,1.76,492
1052,1,LIVING_DINING_ROOM,2,1000.0,65.0,1690.0,19.0,0.0,0.591715976331361,53
893,1,LIVING_DINING_ROOM,4,500.0,122.0,2000.0,14.0,80.0,0.25,0
923,1,OUTDOOR_BUILDING,1,750.0,20.0,850.0,10.0,45.0,0.8823529411764706,361
440,3,LIVING_DINING_ROOM,2,1650.0,66.0,1650.0,42.0,150.0,1.0,273
49,3,LIVING_DINING_ROOM,2,400.0,76.0,1600.0,12.0,50.0,0.25,0
